date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:30	35022/35022	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/typography.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/typography.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:30	40329/40329	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/regular.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/regular.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:31	41158/41158	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/extended.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/extended.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:31	44621/44621	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/validation.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/validation.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:32	40294/40294	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/wizard.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/wizard.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:32	39592/39592	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/tables/regular.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/tables/regular.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:32	51364/51364	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/tables/extended.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/tables/extended.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:33	67830/67830	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/tables/datatables.net.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/tables/datatables.net.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:33	31160/31160	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/maps/google.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/maps/google.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:33	28910/28910	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/maps/fullscreen.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/maps/fullscreen.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:34	30310/30310	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/maps/vector.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/maps/vector.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:35	43610/43610	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/widgets.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/widgets.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:35	33753/33753	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/charts.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/charts.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:36	30268/30268	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/calendar.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/calendar.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:36	3310/3310	---M--	200	added ('OK')	image/png	etag:%225d22f83a-cee%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/US.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/US.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:36	3109/3109	---M--	200	added ('OK')	image/png	etag:%225d22f83a-c25%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/DE.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/DE.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:36	3488/3488	---M--	200	added ('OK')	image/png	etag:%225d22f83a-da0%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/AU.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/AU.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:36	3543/3543	---M--	200	added ('OK')	image/png	etag:%225d22f83a-dd7%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/GB.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/GB.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:36	3298/3298	---M--	200	added ('OK')	image/png	etag:%225d22f83a-ce2%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/RO.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/RO.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:37	3594/3594	---M--	200	added ('OK')	image/png	etag:%225d22f83a-e0a%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/BR.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/flags/BR.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:38	251125/251125	---M--	200	added ('OK')	image/jpeg	etag:%225d22f83a-3d4f5%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/card-2.jpeg	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/card-2.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:42	123917/123917	---M--	200	added ('OK')	image/jpeg	etag:%225d22f83a-1e40d%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/card-3.jpeg	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/card-3.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:42	393121/393121	---M--	200	added ('OK')	image/jpeg	etag:%225d22f83a-5ffa1%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-2.jpg	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-2.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:42	233583/233583	---M--	200	added ('OK')	image/jpeg	etag:%225d22f83a-3906f%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/card-1.jpeg	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/card-1.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:43	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-1538f%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:43	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-8fd0%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/bootstrap.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/bootstrap.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:43	377600/377600	---M--	200	added ('OK')	image/jpeg	etag:%225d22f83a-5c300%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-3.jpg	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-3.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:44	8137/8137	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-1fc9%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/material.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/material.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:44	25332/25332	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-62f4%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/perfect-scrollbar.jquery.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/perfect-scrollbar.jquery.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:44	5091/5091	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-13e3%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/arrive.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/arrive.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:45	238050/238050	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48ec-3a1e2%22	https://cdnjs.cloudflare.com/ajax/libs/core-js/2.4.1/core.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/cdnjs.cloudflare.com/ajax/libs/core-js/2.4.1/core.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:45	21090/21090	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-5262%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.validate.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.validate.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:45	58687/58687	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-e53f%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/moment.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/moment.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:45	40174/40174	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-9cee%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/chartist.min.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/chartist.min.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:45	12040/12040	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-2f08%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.bootstrap-wizard.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.bootstrap-wizard.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:46	13264/13264	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-33d0%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/bootstrap-notify.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/bootstrap-notify.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:46	25418/25418	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d22f83a-634a%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.sharrre.js	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/js/jquery.sharrre.js	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
